age,monthly_income,employment_type,digital_txn_count,bill_payment_score,mobile_usage_score,repayment_status
59,21309,1,164,0.0014182201339154599,0.956508746234745,0
38,56389,1,141,0.5599641471458432,0.7768809957583076,1
24,9054,2,100,0.590655226608641,0.7870695027239316,0
45,5935,2,72,0.9720489647757143,0.6237219692791834,0
34,49940,2,71,0.36147833409427554,0.8391728105102971,0
29,27778,1,166,0.39413324282831175,0.7591624811633813,0
46,48298,0,167,0.20179958134219023,0.5987737041336165,0
22,53328,1,53,0.07053429523732191,0.9611244018517173,0
40,53924,1,2,0.7728044928617406,0.19159494968442303,0
48,21709,0,182,0.24968106433932502,0.943379718994751,0
27,14726,2,110,0.6089048610300379,0.40143816199886495,0
28,45542,1,160,0.6877730355454815,0.5283989834014866,1
55,25245,0,95,0.4712366872916477,0.12273931954430894,1
34,39753,2,70,0.8763521130271916,0.5401074389217909,1
37,19252,2,18,0.44379484097972877,0.6112067518581934,1
56,26316,1,33,0.2849086230417651,0.997701541808524,0
24,42371,2,49,0.8960155229616223,0.9751924110715265,1
22,24162,2,174,0.8615642842499565,0.9663972918742872,1
26,20960,0,45,0.164039947076413,0.34838806010205736,0
24,35791,0,183,0.02596101835392095,0.9912664987450435,0
49,47230,2,184,0.08998555634962069,0.45547815159511085,0
38,30216,0,82,0.28654739855381706,0.8518362587619005,0
46,37467,2,50,0.9722598017417107,0.216319969018972,1
54,51934,1,53,0.558516153160825,0.5058331796566023,1
30,12754,0,89,0.3732617320292688,0.9660120961276054,0
56,52014,2,80,0.8887160946127464,0.9470313969234275,1
34,9078,2,117,0.45313633147849963,0.6837348778214267,0
51,17853,0,155,0.3152386284010211,0.7978143225530598,0
35,55519,0,18,0.9412195287456574,0.1764266966024014,1
28,9042,1,26,0.849517666192678,0.7216585494841574,0
34,54052,2,175,0.843668375419441,0.6180508083353723,1
43,19389,1,146,0.5122847430502131,0.09155173575124609,1
41,35425,1,178,0.789438398815455,0.11315900658967626,1
36,7575,1,6,0.17935335926455187,0.10844361775126188,0
38,44522,0,156,0.5732229575562436,0.7243569348298357,1
44,33179,1,170,0.9838459228475457,0.14171520824757244,1
46,55733,0,68,0.29095843051796166,0.46773227111447047,0
45,39754,0,93,0.7943523292476752,0.35698180587775774,1
49,23624,1,112,0.49047840720806724,0.5505041407702178,1
35,25350,1,106,0.03980568322208733,0.7064764872194028,0
21,31681,2,119,0.7630193978156674,0.684722537221332,1
45,28988,1,185,0.1685691443921128,0.5155199159143766,0
27,20470,2,135,0.6314735671327502,0.4643348736103855,1
29,29704,1,169,0.0856641940469729,0.3978155951222587,0
44,43736,1,41,0.9468673974959648,0.8619099483043794,1
21,34377,1,12,0.2917238871803609,0.330851804872645,0
28,33572,1,153,0.2264646916773949,0.25936582116749485,0
44,12493,2,17,0.1291364040663343,0.7433154936552713,0
31,9103,2,41,0.9460021933390478,0.35976346169672646,0
37,39844,1,50,0.7119037424413052,0.8469985997572684,1
28,59383,1,112,0.7416608887180887,0.32788871863714475,1
55,7994,2,143,0.4994045613802446,0.7019448245745882,0
55,8744,0,100,0.4747277852704834,0.045109006285336095,0
53,52234,0,2,0.11002124299147664,0.38556288011032,0
25,52291,0,78,0.5598410955839918,0.3432301749675515,1
59,32332,2,97,0.24691649510879043,0.8166787392759234,0
48,10594,2,172,0.9771453328004058,0.9670554032283101,0
27,45299,0,149,0.7965809400151473,0.4608812766929614,1
29,12371,0,22,0.4129920601928876,0.8248362771537581,0
28,52315,1,58,0.15134125869153303,0.6996947009573651,0
32,23028,2,189,0.785331691138784,0.9673859876636932,1
54,40912,2,112,0.12205376708131599,0.8111085143428247,0
53,18990,0,67,0.1893337534970705,0.07747806596373052,0
43,51851,0,53,0.21152051774422742,0.7132817223822362,0
44,21626,2,56,0.5568906382730944,0.5354997154223736,1
57,25469,1,150,0.7870566539903663,0.016436057932327164,1
55,45722,0,110,0.3143148787246922,0.2513129587254437,0
42,45037,2,59,0.08466981427528941,0.921755245026893,0
47,12130,2,72,0.4645384635244192,0.9260613727867529,0
55,11828,1,54,0.7481102411599355,0.7988504602006344,0
21,46612,1,116,0.2216638430873883,0.9817796032779894,0
55,51988,0,62,0.21992454803937422,0.8065452246242049,0
57,44099,0,183,0.9472270273467108,0.010204187285245192,1
34,57664,0,54,0.9541537271191779,0.2878343403015118,1
23,51165,2,24,0.9904657320615764,0.030624182237762865,1
21,22883,0,25,0.8076596015747801,0.09410796873755944,1
25,48059,2,176,0.18818416916794556,0.21884081695077606,0
46,23542,0,62,0.21198152079926136,0.5035585463255224,0
34,47932,1,172,0.340225241522392,0.8475320034620177,0
59,59314,1,72,0.31813253133349084,0.861966756157108,0
47,15450,2,78,0.9565277490780091,0.6162018585572965,1
29,25423,1,166,0.7890739828816936,0.928175939066235,1
35,7035,2,64,0.7240087921615539,0.5000623265902081,0
35,49231,2,68,0.18596322405813182,0.8890360441332016,0
46,45745,1,183,0.9095255593623296,0.4540652563320121,1
33,22241,2,8,0.8278703795061738,0.2772250074218823,0
52,57975,1,197,0.1636418413279237,0.9164129181004277,0
59,28154,0,155,0.8711703319609725,0.3879350756788693,1
52,30625,0,172,0.2722475363704713,0.5034041088444616,0
24,49950,1,25,0.08086974583210604,0.3288606325306772,0
50,38066,1,27,0.65682230651421,0.6628376002907298,1
57,38691,1,39,0.6538046593843306,0.9950312250060355,1
43,58384,1,142,0.09493200956561809,0.025513548864769642,0
59,18331,0,133,0.3188518089365824,0.8998480060071015,0
35,25690,2,26,0.9928144622555386,0.003926056989265403,1
49,24183,2,37,0.6784266670087369,0.3642278811462111,1
56,44346,0,195,0.7300751666033292,0.1686068062895143,1
33,9875,2,84,0.21291728560430567,0.7573417806725513,0
52,59478,0,63,0.07878207100391432,0.05061084075717348,0
27,17254,2,29,0.27690168974093765,0.5534849535843279,0
42,33621,1,98,0.24889838519319196,0.29492613384531263,0
48,55954,1,130,0.2345441007480531,0.13367024886470213,0
22,15905,1,189,0.19275432188703956,0.7718182121026408,0
26,51121,0,11,0.5747556906554043,0.2174168342552567,1
48,20882,0,90,0.32810347584182176,0.2236752120549389,0
48,24041,2,29,0.8203450150475304,0.275076785137923,1
40,34098,2,37,0.183947417847384,0.5867667638280274,0
50,57498,2,84,0.4646270708685445,0.6596659316907483,1
31,47431,0,59,0.013657836426079983,0.017602523701344963,0
48,57101,2,37,0.48168232245519205,0.2418696361137903,1
45,38709,1,103,0.05583822087647439,0.43097084250528284,0
59,39675,2,142,0.9777235118726436,0.33197695216123313,1
53,9837,1,145,0.7905921286504128,0.884170658510886,0
21,51448,0,179,0.4901114766364554,0.7877087308864188,1
47,29489,1,28,0.08658735817935026,0.6258902155388275,0
33,22627,1,111,0.5924454407904143,0.33804241599703977,1
23,10696,1,187,0.7587637507018775,0.7006723448461598,0
59,53994,0,20,0.1907172530047453,0.8436380128457944,0
26,18543,0,144,0.5682083407874908,0.5948303773589867,1
28,17615,0,145,0.814210898382868,0.7844614668933791,1
47,6466,0,184,0.7682477776463164,0.7491049613997478,0
29,35771,2,118,0.8029920178671529,0.5717373111603222,1
57,58109,0,164,0.8793234248697198,0.31218321682151096,1
53,23350,1,59,0.9376821021594702,0.7457821580012718,1
44,5375,0,165,0.40552115520353593,0.20679636635760645,0
35,38030,2,139,0.5687691025228773,0.7794883464715338,1
52,25746,2,112,0.7906595260456108,0.804546692142533,1
52,27886,2,128,0.6971398139457832,0.8221448795703731,1
44,49348,1,57,0.9955202282643788,0.4729159709784576,1
32,47904,0,2,0.01367765110464414,0.19248076777042167,0
59,37651,0,190,0.3551332153157907,0.09972360006606873,0
22,12833,0,148,0.28102792627020245,0.7433612504879242,0
23,6893,1,22,0.2623158501655346,0.8862613845298132,0
57,35573,1,136,0.22252978249888578,0.6508383588369067,0
37,36371,2,82,0.7091238408152291,0.1441600603883696,1
22,45874,2,54,0.08475947327532185,0.934896448517574,0
22,16826,0,109,0.7416088339433383,0.9891020145393196,1
48,39420,1,115,0.6934258420162734,0.43337860993492194,1
43,26924,1,146,0.2508041325008964,0.5948252892737712,0
57,58044,0,61,0.25283378316516125,0.7772285200016578,0
52,38367,0,86,0.6288605853445022,0.7363897900500447,1
53,26199,2,166,0.7621711054836778,0.9677871919334492,1
21,56064,2,99,0.8764856130873655,0.11488309107878891,1
39,30868,2,26,0.8521395638544758,0.5807248661428057,1
22,13792,0,173,0.9648829941638531,0.6919314196730921,0
46,25597,0,33,0.5813848953365112,0.89009842418767,1
52,41405,2,32,0.9086555613403596,0.8741096277181507,1
26,37696,2,91,0.8085132732604108,0.97799979356129,1
52,48123,1,95,0.8946676243140136,0.512078453937679,1
24,20989,1,177,0.011626601285366633,0.8307608668132266,0
31,33931,2,147,0.965902991865811,0.4272817081273277,1
37,14290,2,167,0.4735301628464783,0.42231387785603225,0
58,43367,1,94,0.7981829895748429,0.253348364472859,1
44,19342,2,185,0.12720411933778086,0.8182372870192298,0
25,29941,1,158,0.3959410958139741,0.9858151058135156,0
54,18945,1,37,0.2714606630209909,0.2563417283472579,0
26,15762,1,172,0.291658770500937,0.05613158802107232,0
42,35133,0,40,0.12325561995088175,0.8155424374190073,0
31,52080,0,136,0.805763832543007,0.6202300525347562,1
36,45150,2,136,0.00924231458107816,0.9596988005510044,0
53,32052,1,190,0.3125054569852025,0.25223921907695224,0
29,46750,0,78,0.17441054321641503,0.07102765800128108,0
26,24953,2,127,0.5890389406083405,0.49244226086650156,1
36,45475,2,21,0.25425240261454385,0.08546602296514749,0
49,22130,2,15,0.25899845452809966,0.26179000110270745,0
23,36086,2,31,0.4883381439953187,0.12597786081916829,1
40,9633,2,193,0.6526890393409257,0.2241321796600787,0
56,22304,1,141,0.12130470456516362,0.10614465282139185,0
39,47037,2,37,0.17551145246549615,0.9539059994272854,0
46,37284,1,97,0.2471747445945176,0.2785627134497355,0
23,51546,0,135,0.9737482141179605,0.44389758599256546,1
39,12008,2,20,0.39715249994292035,0.8986118076342223,0
40,53291,0,55,0.5989900906310265,0.6773215879614743,1
52,32405,1,45,0.24154281271597788,0.6180374805617743,0
27,56533,1,42,0.4904595251574879,0.7055631903608371,1
53,41386,0,119,0.07411917438595805,0.8288222571053818,0
59,30373,2,45,0.03474214592232694,0.8776692678517609,0
38,25827,2,47,0.4687335268214602,0.6426396706650265,1
21,38040,0,197,0.39865928751841206,0.8900072746940577,0
31,18007,0,83,0.13688031969182768,0.5353975274254769,0
48,23157,0,30,0.6876014289207337,0.2772908562684234,1
45,37157,2,160,0.9929034908992644,0.8800767088838444,1
43,40315,2,171,0.39564682119671246,0.5414728274130871,0
51,40932,2,70,0.6245586359173945,0.9061375875672343,1
50,26164,0,7,0.9629759423644857,0.04016781395058122,0
55,19414,2,129,0.8315349724468752,0.39751575154123553,1
27,19327,1,144,0.46355222330268575,0.9478050183624682,1
36,53344,0,51,0.7374894844599194,0.24965009275830274,1
46,5946,2,44,0.12813504025052402,0.9415362460384926,0
22,19693,0,36,0.5121038554637992,0.9539024611292499,1
21,32241,1,169,0.27906027717993653,0.882142314225861,0
32,54658,1,43,0.1611636878961611,0.5636680450932987,0
25,35254,0,116,0.42628090625453485,0.6469394490806385,1
57,20540,0,37,0.13101455443361443,0.8696169984498692,0
52,11719,1,98,0.6989851081744856,0.7758970823891844,0
29,46203,0,123,0.4562400440533355,0.6300938494554116,1
55,30081,1,5,0.5311446325646638,0.9822594078707026,0
39,16350,1,67,0.146375938668157,0.6856766363336941,0
36,41358,2,178,0.13977166109349448,0.9754819924477611,0
23,37021,0,100,0.5834154352601241,0.057388474607090734,1
40,47832,0,162,0.9850097478294463,0.13896037074221246,1
44,33369,2,185,0.09625058323772562,0.4514588460004906,0
53,36728,1,184,0.28573142856578126,0.3848794608843151,0
44,22576,0,133,0.8694591165378875,0.7827348413570278,1
31,34001,2,12,0.07227201225523694,0.16061402646920375,0
28,22848,2,186,0.8758857213669513,0.9760951791114886,1
56,5390,0,29,0.5242859833747512,0.315065875260914,0
58,26999,2,99,0.40826677392642585,0.4289237077401594,1
40,50436,1,1,0.30968056435145586,0.2747450324400229,0
55,16569,2,57,0.2971171581278419,0.5793636173265473,0
45,18029,1,35,0.3058025824494788,0.058628700422583946,0
55,27490,1,71,0.8848030809601958,0.1496775055704488,1
45,50875,0,172,0.7237952301747855,0.7457977034187242,1
49,40328,2,136,0.6697230078311506,0.1865005834048039,1
38,10867,1,125,0.7987491489520008,0.23551445155666284,0
38,20284,1,192,0.257114663004145,0.7929822357248377,0
22,38979,2,76,0.6180428120817557,0.0933011783572536,1
55,14121,1,49,0.46006623895795096,0.4374738227708409,0
36,6539,2,31,0.7824416352001934,0.023063386997226987,0
56,30488,0,97,0.3092561104732855,0.34680739931790383,0
53,22027,1,42,0.6431786168698957,0.6989814026107545,1
24,13693,1,124,0.8822124118173135,0.09010327971722831,0
53,13921,2,94,0.4021504761949287,0.8883346267787601,0
34,55435,2,77,0.06662208736746145,0.909499042940716,0
41,15310,2,53,0.5160508223417928,0.1049903751251351,1
40,50512,2,46,0.34597248780702594,0.9907324363757767,0
28,35908,1,13,0.672225380547175,0.2975295533954889,1
27,9386,0,175,0.9510329247486061,0.08410167113160605,0
23,37263,0,54,0.485608317996847,0.005067114497262271,1
37,33412,0,156,0.46619023015553385,0.4085228957638626,1
53,22303,0,174,0.6545848001914603,0.6298099857061177,1
32,17242,2,62,0.10349750359356769,0.33217924990331327,0
42,56491,1,18,0.25350618892501464,0.8367173654746227,0
42,52025,1,90,0.9189793255003985,0.7166062755650501,1
50,13947,1,136,0.6699426133637663,0.3501615319680327,0
58,51714,2,100,0.013444043983416254,0.7343096666086046,0
58,10930,1,36,0.20462547255901986,0.9404877369692498,0
28,43170,2,106,0.682837266028899,0.09309599854301709,1
47,59815,1,91,0.7643992025625742,0.3061039601576169,1
47,53785,0,51,0.8398595726740419,0.4633259391166933,1
54,59427,2,184,0.2921768033820449,0.4979901277547686,0
41,5507,1,27,0.9310285962775626,0.5421956448860736,0
50,6436,0,35,0.5529468935778924,0.30062690653864854,0
53,32151,0,115,0.6965390223878929,0.6672596459823491,1
48,16618,0,63,0.596738862779908,0.6450845035298297,1
53,13750,2,17,0.12274005467462046,0.5778215062716139,0
25,21122,2,88,0.9631146593848798,0.11376172171087662,1
39,12354,1,162,0.12287557989415265,0.4769678910959445,0
24,49062,0,195,0.2548819564111836,0.3562268874893756,0
55,35979,1,77,0.8136278802229802,0.4910384698381226,1
37,25900,1,166,0.6185969615011014,0.921866435515026,1
48,18840,0,89,0.838149165376357,0.4805313431584083,1
50,57774,1,7,0.5157361883740449,0.013980791839511841,0
49,42167,2,14,0.37699323536663487,0.43883673808413093,0
26,10037,1,6,0.9218454995477849,0.8206481800493821,0
55,33633,0,16,0.03625231751479485,0.7800609232181682,0
57,29495,2,85,0.8561302203530459,0.513390073528181,1
44,20848,2,117,0.23081778518778162,0.2497690128593153,0
49,41483,1,63,0.8487363277539678,0.4650886629145451,1
51,52645,1,11,0.1391966134168856,0.5637022194181917,0
55,12837,2,55,0.5802189636905405,0.9998714382741338,0
53,39069,1,173,0.888107919011472,0.6441780901693773,1
41,12370,0,174,0.4735396468988905,0.6942649300626135,0
52,59337,1,100,0.7465666738033929,0.49145414356805195,1
43,56307,1,15,0.8046716178555584,0.35448955078252986,1
53,11411,2,196,0.7364942087167792,0.812952983647206,0
23,44133,1,1,0.9253297368745983,0.4949323243392362,0
38,35499,1,127,0.44683423051992865,0.9946901299645251,1
45,35225,1,91,0.17312543916515577,0.4571205742680441,0
51,53217,0,104,0.047811063702479784,0.06800028364757738,0
23,5692,1,181,0.2464598696375051,0.6825781370900827,0
44,33926,0,154,0.1431975038802421,0.04664145092581107,0
52,39246,0,30,0.5579487414344805,0.2505015968847033,1
42,44164,0,168,0.184945337211732,0.35373825277990334,0
43,13448,0,163,0.03893370728937118,0.7394835856213277,0
22,48390,2,46,0.03598982886866786,0.4942359264076128,0
47,54593,0,42,0.8315694983648616,0.02864593131025661,1
22,15073,1,64,0.5914499314430248,0.6168498512759222,1
46,40414,0,49,0.35808530189337817,0.41143623742666235,0
37,10209,1,0,0.8942280427402469,0.9218345099671071,0
53,11533,0,199,0.0701966114077136,0.4995623111402354,0
29,26061,2,184,0.9803220727278259,0.708975145939339,1
59,12211,0,143,0.616291790254461,0.21886849232954686,0
49,14927,0,121,0.18346425396884847,0.7609735645316532,0
46,16927,2,27,0.6790690989769685,0.7209553104836723,1
55,56797,0,85,0.7633812597835626,0.9040817085413082,1
45,29594,1,81,0.4293427833707745,0.033821641719199214,1
44,14316,0,21,0.8616326062455474,0.44750069761745115,0
33,17177,0,40,0.1507324072964703,0.6791554027396302,0
27,15846,0,75,0.27883758357760835,0.09516390008021502,0
56,12933,2,146,0.09349236158398977,0.4106040671489124,0
40,43244,0,88,0.21087784060735215,0.9421466030661954,0
21,51621,0,177,0.23872881191114503,0.43593449089112823,0
28,45696,1,58,0.9176331909217101,0.9854047834806314,1
36,7080,0,68,0.0781096887511562,0.05683906107981962,0
34,11089,0,161,0.42741512018770944,0.7178297761408913,0
32,31123,0,166,0.532398687226913,0.5810162362482695,1
43,12797,0,122,0.8986930538021608,0.5005396771321254,0
35,55013,1,73,0.9976962186612135,0.9708474014850094,1
48,13346,1,6,0.7533881149198358,0.12965040049112864,0
54,24878,2,100,0.9707909905690295,0.8959989516809134,1
22,38672,0,110,0.7871011325358738,0.6912404111366103,1
52,22653,2,179,0.9632026409714166,0.2589960732996327,1
43,54556,2,187,0.7072707259444552,0.9016691456322934,1
42,47742,0,51,0.07976342545107107,0.42929491786101326,0
45,31140,1,23,0.4019201869926765,0.8142273280730709,1
42,6184,1,25,0.6465972838024704,0.38883651704739997,0
42,39493,0,124,0.350718509454251,0.850930827433241,0
26,49148,0,89,0.2733839181137786,0.6366291184450487,0
35,29846,1,121,0.577399267133091,0.14104663358372715,1
57,50825,0,9,0.9335018767024349,0.6496631634695276,0
53,27195,0,16,0.03498187351615356,0.19134476270187262,0
28,10606,0,1,0.7692312035414377,0.4119226278941627,0
25,8956,1,111,0.7227272780446271,0.17029558425203373,0
59,21555,2,26,0.9639534253882871,0.022016115667118585,1
24,29849,2,70,0.9307112223325436,0.2118865394499575,1
26,23690,0,175,0.7622325620441929,0.5363720237241257,1
52,53849,1,117,0.5204087646825987,0.481560967777346,1
50,31347,0,8,0.20426755323351986,0.5014970955360637,0
55,38189,1,85,0.5452357183255744,0.2476868784466013,1
36,43308,0,22,0.7653519939196538,0.6851612006141862,1
33,30785,1,198,0.8956692126378931,0.7042632868203458,1
50,54056,1,72,0.7897120092105491,0.35796782555966555,1
39,37698,2,26,0.19526693519105398,0.8811700884741743,0
37,20966,0,92,0.5996863142280594,0.6440232166355478,1
39,36097,2,80,0.332173459531357,0.7130392752586318,0
48,20882,2,83,0.009205667390642991,0.2773399179389394,0
46,9675,1,198,0.20022093578866607,0.0006116351555870425,0
57,46850,0,42,0.11322064993344927,0.8653756121021096,0
46,18009,1,6,0.8427191235394685,0.8224243845798085,0
43,32843,1,91,0.258506252147812,0.12319188804283021,0
29,34793,1,82,0.2846979688875555,0.3741051349563065,0
32,44516,0,190,0.9599365717988843,0.6613393083885826,1
21,43871,0,83,0.37908672304885216,0.6521108572187282,0
21,22857,1,43,0.009585640144394558,0.8603503348085565,0
54,24627,0,166,0.28384614834613653,0.14026816163542855,0
52,23565,1,39,0.11929958060181245,0.4299397477851188,0
45,31025,0,134,0.10280856173585395,0.09722441792642478,0
21,57248,0,197,0.07748729013574951,0.38959524843862814,0
36,32832,2,24,0.5932594701753773,0.015107445587704382,1
59,49116,1,58,0.18934772362985863,0.898273065110127,0
25,14782,2,140,0.36124279404101045,0.5270439968286811,0
42,43650,2,102,0.8620177161300168,0.8498022608023537,1
49,27366,1,85,0.42433813979627566,0.05990470100336376,1
23,33557,1,111,0.9156913500516376,0.22745811047292064,1
32,10798,0,85,0.49793805339560626,0.2593799952211806,0
46,14627,1,97,0.39883661483975574,0.38669149463878805,0
36,46183,2,61,0.7503889270907016,0.8028663723975461,1
57,17466,2,7,0.0731750987680021,0.38655787373149264,0
42,47614,1,112,0.08947838298241739,0.204653529646327,0
49,17720,2,172,0.6519737139229607,0.06499026033876842,1
34,46913,0,145,0.48694071323924826,0.07949174835268746,1
48,42292,2,59,0.7904152503192102,0.7600472059609774,1
25,11559,0,59,0.9162708373435314,0.444802991036633,0
50,45388,2,105,0.38836687767154754,0.7261811220000153,0
25,24158,0,1,0.5964100265846463,0.6822871217636975,0
32,35916,0,193,0.5006966277953099,0.1353624617602578,1
36,27057,1,90,0.9816106556424329,0.1428879341922672,1
46,40892,0,13,0.8310844073565952,0.7553420154341339,1
46,46439,1,47,0.9117377082773536,0.7212682934854172,1
41,16706,2,102,0.2543400875776042,0.37803076687431036,0
59,55505,2,55,0.7725264231625943,0.07742226333284008,1
56,17070,2,11,0.2654732249976489,0.0120980216984522,0
53,58006,0,54,0.2087425334283899,0.28815694946174486,0
50,45902,2,155,0.9442661596555508,0.009222273587226937,1
57,5924,2,109,0.019304416717866646,0.2300726211037034,0
43,56322,1,3,0.9653887036634297,0.41950074021133854,0
30,31478,1,35,0.1492618969888062,0.1214157653119542,0
25,10506,2,177,0.8194380817932682,0.10427775783154625,0
56,51418,2,130,0.2759225530681031,0.8964374357187366,0
54,40163,0,0,0.3507023274307274,0.5854700290228892,0
51,29604,0,16,0.21675771132198496,0.9344556867627815,0
30,20310,2,198,0.5855140424810796,0.3458261637856792,1
39,13226,1,61,0.3480955475078741,0.6771449373291631,0
52,16781,2,47,0.6573930394946632,0.2046916746217904,1
21,10515,0,61,0.015647317942065975,0.6183403172799412,0
25,56822,1,68,0.06437488351503962,0.1295857300099844,0
24,41133,1,146,0.09966115273124865,0.002080639176285759,0
36,21972,0,102,0.41899368531023107,0.931531801409579,1
44,37092,2,109,0.8147961726599761,0.5548943761752093,1
36,16410,2,161,0.8881779103783827,0.9269406627820395,1
22,24522,2,176,0.24481074006090076,0.33383152370207203,0
48,14095,0,174,0.574369724239014,0.3277860691617568,0
52,28047,1,90,0.7683649926926005,0.4006550017730317,1
47,25470,0,113,0.2888294299196087,0.7060409839581683,0
40,48129,2,177,0.4090077367362732,0.5658086341861742,1
44,13531,0,88,0.5239742026857139,0.9253549070991179,0
32,42038,1,153,0.1348748464080477,0.025440901132439353,0
55,27403,0,55,0.025982293725780314,0.7081959379725364,0
53,47674,2,77,0.15280580931828325,0.3303276893665543,0
53,34122,1,13,0.6268536212535334,0.18023365181846118,1
57,21940,0,24,0.07361826153368167,0.510395622520099,0
32,34831,0,131,0.1896963648501283,0.505063784179996,0
23,16279,1,31,0.3378538856953037,0.1370110286884284,0
21,43220,1,81,0.07787006430636634,0.20189605613288986,0
53,57719,2,77,0.19169927116163443,0.4081646649015549,0
30,58051,1,192,0.9112697889835111,0.40881141239231533,1
49,11477,2,105,0.01929913222698476,0.3175581396196847,0
33,22400,0,188,0.6534319241743621,0.14854515150998093,1
32,11470,2,19,0.3844089309151849,0.004373679100979522,0
51,7062,0,73,0.6726487394323711,0.9702350624280206,0
22,46798,1,9,0.5886917203634046,0.943499229703927,0
55,58473,0,122,0.22349875435464428,0.4836503791761352,0
43,24880,1,33,0.8472094875733885,0.9950517532750057,1
37,39581,0,188,0.4919403826093567,0.6736543307822432,1
46,49439,0,154,0.8225360189134717,0.06885753760754154,1
28,19308,0,39,0.4060125361882192,0.11771819908262737,1
49,31027,0,192,0.984685553915239,0.9161108438696377,1
46,35720,2,126,0.7704893585012963,0.6300522021496284,1
30,40081,0,32,0.9659502051125735,0.8431836266573511,1
46,14706,2,195,0.5143264789098588,0.8982696496338443,0
54,55383,1,70,0.4736911322907005,0.4479420112823861,1
27,14837,1,136,0.7554538093252579,0.04852595157669304,0
24,43599,2,143,0.8802912630134302,0.18828034889732204,1
31,57151,1,132,0.964145795865558,0.0665719473024351,1
49,57592,1,97,0.3245519060324997,0.18873984569850732,0
56,41824,0,123,0.7987045738426389,0.4105329264558768,1
45,38073,0,150,0.2106455976355367,0.11819681051498543,0
41,52115,0,42,0.5455743467454452,0.16673324780534327,1
56,37088,2,113,0.17984814840919916,0.4458217820716792,0
30,33112,2,88,0.34739736175033886,0.34017095038848955,0
57,31299,1,184,0.9313583672064593,0.467658124188041,1
29,39457,0,178,0.14609069977308609,0.42917202775906205,0
44,35063,2,12,0.6324008951351965,0.6444780259798835,1
55,8917,2,127,0.5929542729274033,0.9371895488758545,0
55,7936,0,151,0.12073835270898647,0.10786433844424248,0
56,41630,2,138,0.32597904376881215,0.09926014930919491,0
38,19506,0,51,0.5629815045152657,0.852806111090902,1
59,33805,1,16,0.18717860898849026,0.5063967046524591,0
52,19318,1,164,0.8006236564128154,0.7664050235684422,1
44,53068,1,12,0.9721565095347499,0.21542190360728142,1
43,31026,0,189,0.21475939996247206,0.8288625731675517,0
52,32672,2,83,0.18691196479057592,0.9238466241926959,0
57,43417,1,96,0.45493507179744463,0.6354830155464882,1
32,57413,1,105,0.7477652771400322,0.10587902147380224,1
33,55971,1,95,0.2816006102352514,0.8952948141563388,0
43,32281,2,7,0.019879908697280402,0.7924877273700713,0
45,53442,2,55,0.541220628032894,0.7508777765144898,1
55,33091,0,103,0.9566005677673076,0.03672818890591556,1
50,55494,1,82,0.39127685540694557,0.7989625252569712,0
37,43328,2,197,0.4201345541831004,0.137951010468357,1
40,53219,0,43,0.9689017171140379,0.22238617619688839,1
45,23610,1,187,0.6946076116267283,0.5771348348692575,1
42,6079,2,102,0.7191719228421252,0.26498077291688305,0
33,34850,2,111,0.5627020053710676,0.6613482063119197,1
39,51751,0,168,0.9746092108632416,0.6080704476990816,1
56,25590,1,148,0.6888664844255561,0.10814959801326263,1
32,35951,1,41,0.8950327516051695,0.6560145795915063,1
